created_at,text
Wed May 03 23:46:02 +0000 2017,@Ice_Monee They spreading zika
Wed May 03 23:46:21 +0000 2017,🤔Who comes up with these bright💡Ideas? https://t.co/1BFUKqh15m
Wed May 03 23:46:41 +0000 2017,"😂 RT @Ryda_N: Also, this a weird ass way to compliment a guy on his good looks😂 https://t.co/uBNpGe9BXS"
Wed May 03 23:46:55 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:47:16 +0000 2017,@MotherToBaby This is a really cool info graphic - #zika #publichealth
Wed May 03 23:47:24 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:47:26 +0000 2017,"#Tech #Science https://t.co/rvjUb04GRh Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/89YI9Yh2aq"
Wed May 03 23:47:27 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:47:33 +0000 2017,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus - Fox News https://t.co/AWyD8446eb
Wed May 03 23:47:35 +0000 2017,RT @TheNewbornPrj: Is insect repellent safe for pregnant women? #ZAPzika https://t.co/y2yqh2L0RF
Wed May 03 23:47:36 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:47:59 +0000 2017,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/S3q2dloWaB via the @FoxNews Android app
Wed May 03 23:48:07 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:48:09 +0000 2017,"Thankfully, mosquitoes don't like me! https://t.co/haV08MoOep"
Wed May 03 23:48:25 +0000 2017,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/XCHETMBB8F"
Wed May 03 23:48:26 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:49:14 +0000 2017,Scary stuff. https://t.co/X0gsuDzvT9
Wed May 03 23:49:19 +0000 2017,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/O5ObB1WKMU"
Wed May 03 23:49:27 +0000 2017,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/rNP4jg7s3r"
